City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
380,Alta Floresta,BR,87.66,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
383,Manggar,ID,80.46,broken clouds,-2.8833,108.2667,Guest Hotel
385,Waingapu,ID,76.77,clear sky,-9.6567,120.2641,Pondok Wisata Elim
389,Tecoanapa,MX,82.06,scattered clouds,16.5167,-98.75,Hotel Manglares
397,Eyl,SO,77.83,broken clouds,7.9803,49.8164,Amiin Hotel
399,Sierra Vista,US,86.38,broken clouds,31.5545,-110.3037,Gateway Studio Suites
403,Abu Kamal,SY,83.55,clear sky,34.4506,40.9171,البوكمال
407,Alice Town,BS,84.07,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
409,Jibuti,DJ,88.41,clear sky,11.5,42.5,Orchid Main Camp Goubet
412,Gat,IL,77.68,clear sky,31.61,34.7642,OlusHome
415,Kampot,KH,78.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
418,Uvira,CD,79.14,overcast clouds,-3.4067,29.1458,Hotel Suzana
420,Mamallapuram,IN,84.25,scattered clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
426,Namatanai,PG,80.02,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
430,Bethel,US,79.02,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
433,Rambha,IN,79.7,light rain,19.5167,85.1,OTDC Panthanivas - Rambha
437,Hermiston,US,75.13,clear sky,45.8404,-119.2895,Oxford Suites Hermiston
438,Bubaque,GW,77.2,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
441,Tibiri,NE,87.22,overcast clouds,13.5627,7.0485,FADA GAO FA TIBIRI
442,Elkhart,US,83.98,clear sky,41.5823,-85.8344,"Holiday Inn Express & Suites Goshen, an IHG Hotel"
445,Carutapera,BR,80.38,few clouds,-1.195,-46.02,Lidera
447,Champerico,GT,81.79,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
449,Formiga,BR,75.04,broken clouds,-20.4644,-45.4264,Victor Plaza Hotel
450,Nushki,PK,79.32,clear sky,29.5542,66.0215,Shams hotel
456,Coahuayana,MX,79.47,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
464,Kloulklubed,PW,83.59,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
467,Bandar-E Lengeh,IR,84.31,clear sky,26.5579,54.8807,کافی نت پارس
469,Tautira,PF,77.04,few clouds,-17.7333,-149.15,Pension Oaoa
472,Cruz,BR,78.26,clear sky,-2.9178,-40.1717,Hotel Villaboibom
474,Puerto Colombia,CO,87.89,broken clouds,10.9878,-74.9547,Hotel El Emigrante
475,Yondo,CO,86.86,overcast clouds,7.0062,-73.9097,estacion sayab sede la felicidad
484,Lompoc,US,76.84,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
485,Labuhan,ID,77.41,overcast clouds,-6.8844,112.2051,DoubleFAG
487,Pangai,TO,80.71,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
492,Guarapari,BR,75.88,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
499,Cotonou,BJ,78.78,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
503,Lorengau,PG,78.91,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
505,Cayenne,GF,82.44,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
506,Sarangani,PH,82.6,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
511,Moa,CU,83.91,broken clouds,20.6569,-74.9403,Carmen
513,Huixtla,MX,85.68,overcast clouds,15.15,-92.4667,Rocky Point Sonoran Sky
518,Anito,PH,76.44,overcast clouds,12.4497,125.2886,El Felix Cottages
519,Pajapan,MX,80.76,broken clouds,18.25,-94.7,Hotel Del Carmen
522,Morant Bay,JM,89.22,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
526,Vaitape,PF,78.44,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
528,Biak,ID,75.16,overcast clouds,-0.9131,122.8766,Penginapan Kim
529,Bandarbeyla,SO,77.74,broken clouds,9.4942,50.8122,JABIR HOTEL
531,Karkal,IN,76.82,scattered clouds,13.2,74.9833,Suhag Hotel
533,Westport,US,80.49,clear sky,41.1415,-73.3579,The Westport Inn
534,Brigantine,US,81.03,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
536,Maragogi,BR,75.49,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
541,Kirakira,SB,79.2,scattered clouds,-10.4544,161.9205,SanBiz Lodge
547,Mayo,US,87.75,clear sky,38.8876,-76.5119,Resorts Resource Group International
549,Lubao,PH,80.31,overcast clouds,14.9167,120.55,Hacienda Gracia
554,Presidente Olegario,BR,82.02,broken clouds,-18.4178,-46.4181,Cruzeiro Hotel
555,Richmond Heights,US,87.12,scattered clouds,41.5528,-81.5101,American Motel
556,Elk Plain,US,79.92,clear sky,47.0532,-122.3976,Loveland Mobile Estates
560,Montemorelos,MX,89.94,clear sky,25.2,-99.8167,Best Western Bazarell Inn | Hotel | Restaurante | Salón de Eventos | Sala de Juntas | Alberca | Montemorelos | Nuevo León
562,Salvador,SV,78.04,broken clouds,13.8333,-88.9167,Chico's Ranch
574,Axim,GH,75.43,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
579,Santa Ana,US,89.85,few clouds,33.7456,-117.8678,"Motel 6 Santa Ana, CA"
583,Dhidhdhoo,MV,81.36,clear sky,6.8833,73.1,Dhidhoo beach
584,Palmer,US,76.62,scattered clouds,42.1584,-72.3287,Wedgewood Motel
587,Alyangula,AU,75.79,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
590,Ixtapa,MX,86.23,broken clouds,20.7,-105.2,hotel la terminal
591,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
592,San Marcos,US,88.83,clear sky,33.1434,-117.1661,Hampton Inn San Marcos
595,Qiongshan,CN,75.18,clear sky,20.0058,110.3542,Sun City Restaurant
598,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
600,Takoradi,GH,75.16,broken clouds,4.8845,-1.7554,Raybow International Hotel
604,Porterville,US,82.76,clear sky,36.0652,-119.0168,"Holiday Inn Express & Suites Porterville, an IHG Hotel"
607,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
613,Surt,LY,79.68,clear sky,31.2089,16.5887,فندق المدينة
614,Diffa,NE,86.5,few clouds,13.3154,12.6113,ProDAF/Diffa
622,Puerto Leguizamo,CO,87.35,overcast clouds,-0.1934,-74.7819,la casona de juancho
624,Tecuala,MX,88.59,broken clouds,22.3986,-105.4569,Hotel y Restaurante Candelaria
625,Oneonta,US,78.3,broken clouds,42.4529,-75.0638,Hampton Inn Oneonta
631,Palauig,PH,79.18,overcast clouds,15.435,119.9045,Villa Raphael Resort
634,Beecher,US,84.78,few clouds,43.09,-83.6944,"Holt's Mobile Home Court, Sales and RV Park"
635,Solano,US,80.11,clear sky,38.2333,-121.9511,Westwind Inn
639,Port Antonio,JM,89.51,broken clouds,18.18,-76.4612,The Trident Hotel
