City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
217,Bilibino,RU,68.0546,166.4372,36.86,77,96,9.69,overcast clouds
218,Pala,TD,9.3642,14.9046,73.65,90,53,2.13,broken clouds
219,Broken Hill,AU,-31.95,141.4333,53.71,93,98,14.25,overcast clouds
220,Chulym,RU,55.0997,80.9572,58.32,73,83,7.7,broken clouds
221,Tual,ID,-5.6667,132.75,82.22,76,100,9.15,overcast clouds
222,Cockburn Town,TC,21.4612,-71.1419,83.34,80,100,22.15,overcast clouds
223,Fort Abbas,PK,29.1925,72.8536,88.5,52,1,7.92,clear sky
224,Mount Gambier,AU,-37.8333,140.7667,51.71,93,100,6.91,overcast clouds
225,Dunedin,NZ,-45.8742,170.5036,52.81,75,10,1.99,clear sky
226,High Level,CA,58.5169,-117.136,64.51,48,40,9.22,scattered clouds
227,Hay River,CA,60.8156,-115.7999,67.96,30,75,16.11,broken clouds
228,Umm Lajj,SA,25.0213,37.2685,81.68,62,0,5.59,clear sky
229,Ouegoa,NC,-20.35,164.4333,76.37,73,18,8.28,few clouds
230,Acarau,BR,-2.8856,-40.12,78.33,81,11,18.77,few clouds
231,Tuatapere,NZ,-46.1333,167.6833,48.65,79,14,2.39,few clouds
232,Fort-Shevchenko,KZ,44.5086,50.263,74.16,42,0,9.62,clear sky
233,Vila Velha,BR,-20.3297,-40.2925,76.95,88,75,10.36,broken clouds
234,Kenai,US,60.5544,-151.2583,51.1,72,0,5.75,clear sky
235,Mikuni,JP,36.2171,136.1519,66.31,72,100,1.25,overcast clouds
236,Tevriz,RU,57.509,72.4042,53.73,85,57,4.45,broken clouds
237,Sabzevar,IR,36.2126,57.6819,73.26,21,0,8.12,clear sky
238,Broome,US,42.2506,-75.833,79.02,65,40,10.36,scattered clouds
239,Bathsheba,BB,13.2167,-59.5167,83.01,74,75,23.02,broken clouds
240,Mnogovershinnyy,RU,53.9353,139.9242,40.68,81,100,4.54,overcast clouds
241,Cabra,ES,37.4725,-4.4421,71.42,63,64,2.86,broken clouds
242,Timizart,DZ,36.8,4.2667,69.66,72,28,5.7,scattered clouds
243,Saint George,US,37.1041,-113.5841,89.26,33,75,23.02,broken clouds
244,Hobyo,SO,5.3505,48.5268,76.69,92,80,21.72,broken clouds
245,Vitim,RU,59.4511,112.5578,35.06,100,100,2.39,light snow
246,Kaeo,NZ,-35.1,173.7833,60.33,87,8,3.78,clear sky
247,Malanje,AO,-9.5402,16.341,68.97,75,96,2.53,light rain
248,Port Augusta,AU,-32.5,137.7667,51.49,92,59,7.2,broken clouds
249,Concordia,AR,-31.393,-58.0209,62.78,68,75,15.99,moderate rain
250,Kajaani,FI,64.2273,27.7285,39.25,87,0,6.91,clear sky
251,Shingu,JP,33.7333,135.9833,70.7,94,100,20.29,light rain
252,Vao,NC,-22.6667,167.4833,71.85,75,100,12.57,overcast clouds
253,Kahului,US,20.8947,-156.47,89.62,51,20,21.85,few clouds
254,Hambantota,LK,6.1241,81.1185,79.0,83,22,14.58,few clouds
255,Vostok,RU,46.4856,135.8833,37.67,70,3,5.3,clear sky
256,Lazarev,RU,52.225,141.5131,53.11,67,100,14.09,overcast clouds
257,Barahona,DO,18.2085,-71.1008,93.02,70,40,6.91,scattered clouds
258,Morehead,US,37.2711,-87.1764,97.0,42,0,8.05,clear sky
259,Berbera,SO,10.4396,45.0143,91.87,50,53,5.28,broken clouds
260,Charters Towers,AU,-20.1,146.2667,68.29,89,32,4.97,scattered clouds
261,Nargana,PA,9.4428,-78.5906,81.12,81,85,7.74,overcast clouds
262,Teahupoo,PF,-17.8333,-149.2667,78.76,76,21,15.88,light rain
263,Sitka,US,57.0531,-135.33,57.09,88,75,8.05,broken clouds
264,Yar-Sale,RU,66.8333,70.8333,37.98,80,52,18.48,broken clouds
265,Rocha,UY,-34.4833,-54.3333,50.67,73,17,6.73,few clouds
266,Puerto Carreno,CO,6.189,-67.4859,88.79,60,44,4.74,scattered clouds
267,Saint Anthony,US,45.0205,-93.218,67.75,52,40,25.32,scattered clouds
268,Manta,EC,-0.95,-80.7333,74.98,78,75,12.66,broken clouds
269,Santa Marta,CO,11.2408,-74.199,86.9,66,75,6.91,broken clouds
270,Ellensburg,US,46.9965,-120.5479,75.61,24,0,3.44,clear sky
271,General Roca,AR,-39.0333,-67.5833,55.62,28,100,20.56,light rain
272,Rockport,US,28.0206,-97.0544,91.42,70,0,12.66,clear sky
273,Vanimo,PG,-2.6741,141.3028,76.62,88,94,4.18,overcast clouds
274,Dandong,CN,40.1292,124.3947,49.62,76,68,4.74,broken clouds
275,Ewa Beach,US,21.3156,-158.0072,87.75,54,20,15.01,few clouds
276,Ola,RU,59.5833,151.2833,35.15,66,4,16.96,clear sky
277,Rundu,NA,-17.9333,19.7667,66.45,13,1,6.08,clear sky
278,Shelburne,CA,44.0787,-80.2041,77.13,66,79,16.73,broken clouds
279,Mackay,AU,-21.15,149.2,74.68,85,64,4.45,broken clouds
280,Sri Aman,MY,1.2376,111.4621,71.85,99,78,0.92,broken clouds
281,Olafsvik,IS,64.8945,-23.7142,49.96,87,100,2.21,overcast clouds
282,Nioro,GM,13.35,-15.75,74.86,96,99,9.06,light rain
283,Lavrentiya,RU,65.5833,-171.0,40.32,97,100,26.91,moderate rain
